time,avg norm vel,error
1.0,0.0851110427575937,0
2.0,0.07678406918953666,0
3.0,0.10435608343132763,0
4.0,0.13294316037519865,0
5.0,0.13831605221071455,0
6.0,0.11892394121555627,0
7.0,0.08706299985138333,0
8.0,0.11796776799866822,0
9.0,0.19019028784278275,0
10.0,0.18444276402604565,0
11.0,0.08794076627977072,0
12.0,0.07683231456016507,0
13.0,0.05147757190442624,0
14.0,0.13871377228133683,0
15.0,0.16367098556843898,0
16.0,0.18605211778971945,0
17.0,0.1866413494570372,0
18.0,0.1524258171573353,0
19.0,0.18569843693863095,0
20.0,0.1982853826575736,0
21.0,0.12328703109711255,0
22.0,0.29608722904817464,0
23.0,0.2123923402315391,0
24.0,0.1349978845331542,0
25.0,0.10686707123493601,0
26.0,0.07352179661562253,0
27.0,0.10377832353252643,0
28.0,0.10886911876307634,0
29.0,0.12476437939566734,0
30.0,0.15221790498488558,0
31.0,0.11111748100489426,0
32.0,0.15442378724094655,0
33.0,0.13792872341614407,0
34.0,0.11092754698089166,0
35.0,0.14338108359842008,0
36.0,0.11550290438576064,0
37.0,0.07625780112333604,0
38.0,0.0940134044661643,0
39.0,0.09220967059729562,0
40.0,0.12833077298034595,0
41.0,0.1430843649336023,0
42.0,0.1423094241700305,0
43.0,0.15726245749402504,0
44.0,0.1231788098936033,0
45.0,0.10600881423862644,0
46.0,0.08071898637142602,0
47.0,0.1259086443556293,0
48.0,0.10633177811971893,0
49.0,0.14721530588353524,0
50.0,0.16532539713345196,0
51.0,0.04395287550374688,0
52.0,0.10776235881918493,0
53.0,0.11110828781659317,0
54.0,0.1379445318434811,0
55.0,0.08618225068657495,0
56.0,0.13477833618641027,0
57.0,0.11610847166069152,0
58.0,0.08533746769725785,0
59.0,0.11966127490368951,0
60.0,0.10190720941558566,0
