time,avg norm vel,error
1.0,0.1994892353833547,0
2.0,0.23564819842307022,0
3.0,0.21549258275826494,0
4.0,0.09923093110682349,0
5.0,0.1270112576453734,0
6.0,0.14009240047152158,0
7.0,0.12145277284460809,0
8.0,0.17770508962011636,0
9.0,0.20410916724815562,0
10.0,0.09712408456757475,0
11.0,0.13889210001609806,0
12.0,0.14147506776313395,0
13.0,0.03551938843417555,0
14.0,0.12900675052829658,0
15.0,0.1346318019111351,0
16.0,0.14099730754809978,0
17.0,0.1342616099828284,0
18.0,0.0809804039970333,0
19.0,0.08504402539400337,0
20.0,0.09607269970694485,0
21.0,0.15157513949556992,0
22.0,0.12624012370381582,0
23.0,0.22773007973958315,0
24.0,0.128549750665642,0
25.0,0.05713628712557337,0
26.0,0.08187731188732411,0
27.0,0.19857497108885008,0
28.0,0.14807823279112503,0
29.0,0.07134988506907965,0
30.0,0.08869219190538821,0
31.0,0.11909324264742693,0
32.0,0.1736456473889673,0
33.0,0.060342503618200385,0
34.0,0.1959421140086273,0
35.0,0.08791588046861053,0
36.0,0.15788657924311553,0
37.0,0.1062482872606827,0
38.0,0.16590737358995805,0
39.0,0.17479743792623398,0
40.0,0.11970074876293593,0
41.0,0.0720847439890503,0
42.0,0.2328617884132713,0
43.0,0.15420659668378264,0
44.0,0.1775775933334783,0
45.0,0.12463454378677133,0
46.0,0.14379472815903116,0
47.0,0.12757450898756748,0
48.0,0.11525384888265239,0
49.0,0.12449723624200562,0
50.0,0.024007142808642697,0
51.0,0.05592855588211691,0
52.0,0.10647561739215393,0
53.0,0.13774481364726424,0
54.0,0.07052946004175852,0
55.0,0.1449888113804452,0
56.0,0.1577344763608463,0
57.0,0.08900708748157181,0
58.0,0.11412433011598463,0
59.0,0.2040398833208067,0
60.0,0.0987036988359786,0
