time,avg norm vel,error
1.0,0.9999906362272634,0
2.0,0.9999960543653433,0
3.0,0.9999961666156078,0
4.0,0.9999964808233205,0
5.0,0.9999961322059466,0
6.0,0.9999955145167605,0
7.0,0.9999959237725381,0
8.0,0.9999967370066607,0
9.0,0.9999955512195253,0
10.0,0.999995912523348,0
11.0,0.9999958194835421,0
12.0,0.9999953611651127,0
13.0,0.9999961911206938,0
14.0,0.999995659284911,0
15.0,0.9999963755140885,0
16.0,0.9999960042337156,0
17.0,0.999995711642006,0
18.0,0.9999958289509229,0
19.0,0.9999953484796413,0
20.0,0.9999958126395762,0
21.0,0.9999953343833766,0
22.0,0.9999959673032226,0
23.0,0.9999966843529308,0
24.0,0.999996091953229,0
25.0,0.999995511921904,0
26.0,0.9999954972416953,0
27.0,0.9999965942179291,0
28.0,0.9999963026725865,0
29.0,0.999996020705285,0
30.0,0.9999955721896616,0
31.0,0.9999964367321835,0
32.0,0.9999963266991874,0
33.0,0.9999959435262247,0
34.0,0.9999962858482483,0
35.0,0.9999966681715637,0
36.0,0.9999960475691664,0
37.0,0.9999958360051306,0
38.0,0.9999960125955256,0
39.0,0.99999670253934,0
40.0,0.9999961328919386,0
41.0,0.9999961979774384,0
42.0,0.9999962257113961,0
43.0,0.9999967018348482,0
44.0,0.9999957216677519,0
45.0,0.999994848603826,0
46.0,0.9999960210134391,0
47.0,0.9999962845563755,0
48.0,0.9999957343352143,0
49.0,0.9999961688761927,0
50.0,0.9999957042478425,0
51.0,0.9999950957614233,0
52.0,0.9999961965441163,0
53.0,0.9999959574411247,0
54.0,0.9999961408575682,0
55.0,0.999996027743168,0
56.0,0.9999954190415031,0
57.0,0.9999960513055514,0
58.0,0.9999958910471864,0
59.0,0.9999957519971356,0
60.0,0.9999916431749575,0
