time,avg norm vel,error
1.0,0.9999921823520141,0
2.0,0.9999961193045955,0
3.0,0.999995340732014,0
4.0,0.9999955803551633,0
5.0,0.9999961104418901,0
6.0,0.9999957172087406,0
7.0,0.9999953667855719,0
8.0,0.999996322866974,0
9.0,0.999995802098638,0
10.0,0.999995894818467,0
11.0,0.9999960100356452,0
12.0,0.9999959894698617,0
13.0,0.9999959083194222,0
14.0,0.9999969009243909,0
15.0,0.9999956089312723,0
16.0,0.9999961282511692,0
17.0,0.9999956425679979,0
18.0,0.9999957644213824,0
19.0,0.9999958497131725,0
20.0,0.999995949406013,0
21.0,0.9999966577484839,0
22.0,0.9999966473119365,0
23.0,0.9999963166075093,0
24.0,0.9999953327401412,0
25.0,0.9999949696352837,0
26.0,0.999995230503858,0
27.0,0.999995677801937,0
28.0,0.9999961614374056,0
29.0,0.999996609367845,0
30.0,0.9999955654354679,0
31.0,0.9999956579816422,0
32.0,0.9999951327564753,0
33.0,0.9999954796463555,0
34.0,0.99999611255904,0
35.0,0.9999963383722453,0
36.0,0.9999953324021389,0
37.0,0.9999955428841334,0
38.0,0.9999956922075306,0
39.0,0.9999962055732,0
40.0,0.9999961022363704,0
41.0,0.9999953351933955,0
42.0,0.9999952239974849,0
43.0,0.9999952948909449,0
44.0,0.9999967735668561,0
45.0,0.9999961022863381,0
46.0,0.9999953801815201,0
47.0,0.9999956650933269,0
48.0,0.9999959797409367,0
49.0,0.999995574088088,0
50.0,0.999996698450653,0
51.0,0.9999957602443339,0
52.0,0.9999954109422642,0
53.0,0.9999962771604393,0
54.0,0.9999957110361835,0
55.0,0.99999593187653,0
56.0,0.9999958504833399,0
57.0,0.9999956488929377,0
58.0,0.9999957710992424,0
59.0,0.9999958630531793,0
60.0,0.9999914550817975,0
