time,avg norm vel,error
1.0,0.9999921993755887,0
2.0,0.9999959499020288,0
3.0,0.999995326311901,0
4.0,0.9999958540320024,0
5.0,0.9999967525198422,0
6.0,0.9999966382475903,0
7.0,0.9999950181828955,0
8.0,0.9999948973128149,0
9.0,0.9999961072149632,0
10.0,0.9999955051092476,0
11.0,0.9999958584556947,0
12.0,0.9999959037819519,0
13.0,0.9999963742400327,0
14.0,0.9999962796996263,0
15.0,0.9999962593517511,0
16.0,0.9999959462219653,0
17.0,0.9999964516566916,0
18.0,0.9999954955871234,0
19.0,0.9999959072334912,0
20.0,0.9999963320392383,0
21.0,0.9999957263649303,0
22.0,0.9999963134305303,0
23.0,0.9999963875109849,0
24.0,0.9999958315152392,0
25.0,0.9999957194618714,0
26.0,0.9999960525709927,0
27.0,0.9999951367679023,0
28.0,0.9999957846381614,0
29.0,0.9999963582565854,0
30.0,0.9999958234220487,0
31.0,0.9999956800593872,0
32.0,0.9999956432453069,0
33.0,0.9999961504997142,0
34.0,0.9999961248620647,0
35.0,0.9999967579767307,0
36.0,0.9999966020777513,0
37.0,0.9999959507790902,0
38.0,0.9999960280514092,0
39.0,0.9999960043664037,0
40.0,0.9999963814193518,0
41.0,0.9999959488745274,0
42.0,0.9999953476701778,0
43.0,0.9999949185385751,0
44.0,0.9999964355416869,0
45.0,0.9999964074662727,0
46.0,0.9999953737612767,0
47.0,0.9999956774585783,0
48.0,0.9999962172798434,0
49.0,0.999995072712353,0
50.0,0.9999957536562096,0
51.0,0.999995744703427,0
52.0,0.9999964660685846,0
53.0,0.99999570269902,0
54.0,0.999995858792109,0
55.0,0.9999966320138234,0
56.0,0.9999957617437791,0
57.0,0.9999964101337161,0
58.0,0.9999959987633564,0
59.0,0.9999955058893081,0
60.0,0.999991027994117,0
